Target Variable,R-squared Value,Influenced By
Optm,0.018180398426614786,"const, C_we, C_wk, G_we, G_wk, S_wk, T_wk, gender, minority"
Usef,0.04785396940818443,"const, G_we, G_wk, S_wk, T_wk, gender, minority"
Relx,0.08597024225998684,"const, C_we, C_wk, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority, deprived"
Intp,0.02559713590806989,"const, C_we, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority, deprived"
Engs,0.07135457251896493,"const, C_we, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority, deprived"
Dealpr,0.037815197122456734,"const, C_we, G_we, G_wk, S_wk, T_wk, gender, deprived"
Thcklr,0.06936459228457881,"const, C_we, G_wk, S_we, S_wk, T_wk, gender, minority, deprived"
Goodme,0.1288247289148673,"const, C_we, G_wk, S_we, S_wk, T_we, gender, minority"
Clsep,0.01449541977789981,"const, C_we, C_wk, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority, deprived"
Conf,0.1033190442330959,"const, C_we, C_wk, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority"
Mkmind,0.037128798767847915,"const, C_we, G_we, G_wk, S_we, S_wk, T_we, gender, minority"
Loved,0.017122820853454734,"const, C_we, G_wk, S_wk, T_wk, gender, minority, deprived"
Intthg,0.029231446948671747,"const, C_wk, G_we, G_wk, S_we, S_wk, T_we, T_wk, gender, minority, deprived"
Cheer,0.043193110652669287,"const, C_we, G_we, G_wk, S_wk, T_we, gender, deprived"
